Log,Time
printare angajati,2020.04.23.23.28.51
scriere angajati in fisier,2020.04.23.23.28.51
printare bugete,2020.04.23.23.28.51
printare categorii proiect,2020.04.23.23.28.51
printare cheltuieli,2020.04.23.23.28.51
printare departamente,2020.04.23.23.28.51
printare joburi,2020.04.23.23.28.51
printare manageri,2020.04.23.23.28.51
printare proiecte,2020.04.23.23.28.51
printare angajati,2020.04.23.23.29.18
scriere angajati in fisier,2020.04.23.23.29.18
printare bugete,2020.04.23.23.29.18
printare categorii proiect,2020.04.23.23.29.18
printare cheltuieli,2020.04.23.23.29.18
printare departamente,2020.04.23.23.29.18
printare joburi,2020.04.23.23.29.18
printare manageri,2020.04.23.23.29.18
printare proiecte,2020.04.23.23.29.18
